;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_S
316;Leon3;gcd;int16_t;2.0;32764.0;2
317;Leon3;gcd;int32_t;2.0;2147483638.0;2
318;Leon3;gcd;int32_t;2.0;2147483638.0;2
319;Leon3;gcd;int64_t;2.0;9.223372036854776e+18;2
320;Leon3;gcd;int64_t;2.0;9.223372036854776e+18;2
321;Arm;gcd;int8_t;2.0;125.0;2
322;Arm;gcd;int8_t;2.0;125.0;2
323;Arm;gcd;int16_t;2.0;32764.0;2
324;Arm;gcd;int16_t;2.0;32764.0;2
325;Arm;gcd;int32_t;2.0;2147483638.0;2
326;Arm;gcd;int32_t;2.0;2147483638.0;2
327;Arm;gcd;int64_t;2.0;9.223372036854776e+18;2
328;Arm;gcd;int64_t;2.0;9.223372036854776e+18;2
329;Thumb;gcd;int8_t;2.0;125.0;2
330;Thumb;gcd;int8_t;2.0;125.0;2
331;Thumb;gcd;int16_t;2.0;32764.0;2
332;Thumb;gcd;int16_t;2.0;32764.0;2
333;Thumb;gcd;int32_t;2.0;2147483638.0;2
334;Thumb;gcd;int32_t;2.0;2147483638.0;2
335;Thumb;gcd;int64_t;2.0;9.223372036854776e+18;2
336;Thumb;gcd;int64_t;2.0;9.223372036854776e+18;2
337;Atmega328p;gcd;int8_t;2.0;125.0;2
338;Atmega328p;gcd;int8_t;2.0;125.0;2
339;Atmega328p;gcd;int16_t;2.0;32764.0;2
340;Atmega328p;gcd;int16_t;2.0;32764.0;2
341;Atmega328p;gcd;int32_t;2.0;2147483638.0;2
342;Atmega328p;gcd;int32_t;2.0;2147483638.0;2
343;Atmega328p;gcd;int64_t;2.0;9.223372036854776e+18;2
344;Atmega328p;gcd;int64_t;2.0;9.223372036854776e+18;2
345;RiscV;gcd;int8_t;2.0;125.0;2
346;RiscV;gcd;int8_t;2.0;125.0;2
347;RiscV;gcd;int16_t;2.0;32764.0;2
348;RiscV;gcd;int16_t;2.0;32764.0;2
349;RiscV;gcd;int32_t;2.0;2147483638.0;2
350;RiscV;gcd;int32_t;2.0;2147483638.0;2
351;RiscV;gcd;int64_t;2.0;9.223372036854776e+18;2
352;RiscV;gcd;int64_t;2.0;9.223372036854776e+18;2
353;Leon3;gcd;int8_t;2.0;125.0;2
354;Leon3;gcd;int8_t;2.0;125.0;2
355;Leon3;gcd;int16_t;2.0;32764.0;2
356;Leon3;gcd;int16_t;2.0;32764.0;2
357;Leon3;gcd;int32_t;2.0;2147483638.0;2
358;Leon3;gcd;int32_t;2.0;2147483638.0;2
359;Leon3;gcd;int64_t;2.0;9.223372036854776e+18;2
360;Leon3;gcd;int64_t;2.0;9.223372036854776e+18;2
361;Arm;gcd;int8_t;2.0;125.0;2
362;Arm;gcd;int8_t;2.0;125.0;2
363;Arm;gcd;int16_t;2.0;32764.0;2
364;Arm;gcd;int16_t;2.0;32764.0;2
365;Arm;gcd;int32_t;2.0;2147483638.0;2
366;Arm;gcd;int32_t;2.0;2147483638.0;2
367;Arm;gcd;int64_t;2.0;9.223372036854776e+18;2
368;Arm;gcd;int64_t;2.0;9.223372036854776e+18;2
369;Thumb;gcd;int8_t;2.0;125.0;2
370;Thumb;gcd;int8_t;2.0;125.0;2
371;Thumb;gcd;int16_t;2.0;32764.0;2
372;Thumb;gcd;int16_t;2.0;32764.0;2
373;Thumb;gcd;int32_t;2.0;2147483638.0;2
374;Thumb;gcd;int32_t;2.0;2147483638.0;2
375;Thumb;gcd;int64_t;2.0;9.223372036854776e+18;2
376;Thumb;gcd;int64_t;2.0;9.223372036854776e+18;2
377;Atmega328p;gcd;int8_t;2.0;125.0;2
378;Atmega328p;gcd;int8_t;2.0;125.0;2
379;Atmega328p;gcd;int16_t;2.0;32764.0;2
380;Atmega328p;gcd;int16_t;2.0;32764.0;2
381;Atmega328p;gcd;int32_t;2.0;2147483638.0;2
382;Atmega328p;gcd;int32_t;2.0;2147483638.0;2
383;Atmega328p;gcd;int64_t;2.0;9.223372036854776e+18;2
384;Atmega328p;gcd;int64_t;2.0;9.223372036854776e+18;2
385;RiscV;gcd;int8_t;2.0;125.0;2
386;RiscV;gcd;int8_t;2.0;125.0;2
387;RiscV;gcd;int16_t;2.0;32764.0;2
388;RiscV;gcd;int16_t;2.0;32764.0;2
389;RiscV;gcd;int32_t;2.0;2147483638.0;2
390;RiscV;gcd;int32_t;2.0;2147483638.0;2
391;RiscV;gcd;int64_t;2.0;9.223372036854776e+18;2
392;RiscV;gcd;int64_t;2.0;9.223372036854776e+18;2
393;Leon3;gcd;int8_t;2.0;125.0;2
394;Leon3;gcd;int8_t;2.0;125.0;2
395;Leon3;gcd;int16_t;2.0;32764.0;2
396;Leon3;gcd;int16_t;2.0;32764.0;2
397;Leon3;gcd;int32_t;2.0;2147483638.0;2
398;Leon3;gcd;int32_t;2.0;2147483638.0;2
399;Leon3;gcd;int64_t;2.0;9.223372036854776e+18;2
400;Leon3;gcd;int64_t;2.0;9.223372036854776e+18;2
